target "MSL_ROVER", observer "MSL_LANDING_SITE", frame "IAU_MARS"
t (sol), t (UTC), x (km), y (km), z (km)
97, 2012 NOV 14 01:36:51, -2.5567108784238590e-01, -3.0485714391677260e-01, -3.5378638077650182e-02
98, 2012 NOV 15 02:18:22, -2.5566960314469500e-01, -3.0485528191235933e-01, -3.5376865157473320e-02
99, 2012 NOV 16 02:59:53, -2.5567130969486540e-01, -3.0485738213035130e-01, -3.5379251997608524e-02
100, 2012 NOV 17 03:41:24, -2.5462955863794445e-01, -3.0380385500809370e-01, -3.6147472040328393e-02
101, 2012 NOV 18 04:22:55, -2.5462940413909274e-01, -3.0380364986757769e-01, -3.6147428884257538e-02
102, 2012 NOV 19 05:04:27, -2.6990625799321349e-01, -3.2037393469547681e-01, -3.2438506417993479e-02
103, 2012 NOV 20 05:45:58, -2.6990609876053340e-01, -3.2037373073130915e-01, -3.2438483813334695e-02
104, 2012 NOV 21 06:27:29, -2.6990592512346767e-01, -3.2037355727650724e-01, -3.2438459456071322e-02
105, 2012 NOV 22 07:09:00, -2.6990578307748136e-01, -3.2037335576211201e-01, -3.2438457364607182e-02
106, 2012 NOV 23 07:50:31, -2.6990560081489168e-01, -3.2037317675756893e-01, -3.2438423888017293e-02
107, 2012 NOV 24 08:32:02, -2.6990547453956104e-01, -3.2037297553259569e-01, -3.2438396866745933e-02
108, 2012 NOV 25 09:13:34, -2.6990528836691047e-01, -3.2037278669911523e-01, -3.2438375638402739e-02
109, 2012 NOV 26 09:55:05, -2.6990512248649134e-01, -3.2037257104964945e-01, -3.2438346043554139e-02
110, 2012 NOV 27 10:36:36, -2.6990496190963764e-01, -3.2037238727399164e-01, -3.2438326243539650e-02
111, 2012 NOV 28 11:18:07, -2.6965404823122763e-01, -3.2010685214306650e-01, -3.2267963611101208e-02
112, 2012 NOV 29 11:59:38, -2.6965388363093545e-01, -3.2010667613511390e-01, -3.2267954277478805e-02
113, 2012 NOV 30 12:41:10, -2.6966043910130333e-01, -3.2011333504599726e-01, -3.2264129060653013e-02
114, 2012 DEC 01 13:22:41, -2.6965484320726107e-01, -3.2010722333861336e-01, -3.2265872082525127e-02
115, 2012 DEC 02 14:04:12, -2.6965746844564731e-01, -3.2011088642095453e-01, -3.2268262110536156e-02
116, 2012 DEC 03 14:45:43, -2.6965614699393486e-01, -3.2010792630404811e-01, -3.2262621735975494e-02
117, 2012 DEC 04 15:27:14, -2.6965726033354609e-01, -3.2011000341843926e-01, -3.2265741498451211e-02
118, 2012 DEC 05 16:08:46, -2.6965765470679365e-01, -3.2010977700814242e-01, -3.2262872893836947e-02
119, 2012 DEC 06 16:50:17, -2.6965751080088973e-01, -3.2010961143383998e-01, -3.2262880423538781e-02
120, 2012 DEC 07 17:31:48, -2.7330495124479171e-01, -3.2771980578320020e-01, -6.1296168792316641e-02
121, 2012 DEC 08 18:13:19, -2.8463279167609734e-01, -3.3922649018832657e-01, -5.1767149219569319e-02
122, 2012 DEC 09 18:54:50, -2.8533571654438938e-01, -3.3993936297676797e-01, -5.1381689255902752e-02
123, 2012 DEC 10 19:36:22, -2.9458398439099087e-01, -3.4979998609087165e-01, -3.8207575032777608e-02
124, 2012 DEC 11 20:17:53, -2.9251652313695953e-01, -3.4596279234768818e-01, -2.6938423054175459e-02
125, 2012 DEC 12 20:59:24, -2.9443617940374422e-01, -3.4793947610658155e-01, -1.3273794538211092e-02
126, 2012 DEC 13 21:40:55, -2.9443601380701762e-01, -3.4793926777307294e-01, -1.3273767526468194e-02
127, 2012 DEC 14 22:22:26, -2.9803824247701688e-01, -3.4934226289477177e-01,  1.0948722734798438e-02
128, 2012 DEC 15 23:03:57, -2.9803771732862766e-01, -3.4934159899082268e-01,  1.0948535475345633e-02
129, 2012 DEC 16 23:45:29, -2.9803740819679259e-01, -3.4934132354846742e-01,  1.0946920647144004e-02
130, 2012 DEC 18 00:27:00, -2.9871062877558363e-01, -3.4899104668013065e-01,  1.6282008413644161e-02
131, 2012 DEC 19 01:08:31, -2.9871049380760190e-01, -3.4899078609084416e-01,  1.6282001145782266e-02
132, 2012 DEC 20 01:50:02, -2.9871086577933803e-01, -3.4899109329165795e-01,  1.6283209313505936e-02
133, 2012 DEC 21 02:31:33, -2.9225407735124542e-01, -3.4402851579284704e-01, -2.5924589432777534e-03
134, 2012 DEC 22 03:13:05, -2.9225389562440868e-01, -3.4402828212970127e-01, -2.5924459566546709e-03
135, 2012 DEC 23 03:54:36, -2.9225374123018216e-01, -3.4402810781618931e-01, -2.5924498964847720e-03
136, 2012 DEC 24 04:36:07, -2.9225359205974377e-01, -3.4402790596829647e-01, -2.5924437678587209e-03
137, 2012 DEC 25 05:17:38, -2.9225339396353583e-01, -3.4402767666343920e-01, -2.5924520165762077e-03
138, 2012 DEC 26 05:59:09, -2.9225323866111508e-01, -3.4402752219768196e-01, -2.5924593651474037e-03
139, 2012 DEC 27 06:40:41, -2.9225305219685671e-01, -3.4402729215374162e-01, -2.5924731617814889e-03
140, 2012 DEC 28 07:22:12, -2.9225291609820903e-01, -3.4402710177276186e-01, -2.5924622339191516e-03
141, 2012 DEC 29 08:03:43, -2.9225274976644205e-01, -3.4402692527408735e-01, -2.5924515384667390e-03
142, 2012 DEC 30 08:45:14, -2.9225258383691938e-01, -3.4402670652501288e-01, -2.5924612105376610e-03
143, 2012 DEC 31 09:26:45, -2.9225243496774017e-01, -3.4402653163410896e-01, -2.5924516535165143e-03
